,id,age,dietary considerations,state,user agent
279,117,30,"['nut allergy', 'vegan']",Queensland,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/3.1)
422,219,48,[],Queensland,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.1)
439,101,50,"['nut allergy', 'celiac']",Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.0)
819,834,95,[],New South Wales,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.1)
86,681,10,['none'],Queensland,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.1)
345,379,38,[],Queensland,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1)
254,464,28,['nut allergy'],Victoria,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/3.0)
970,120,113,[],South Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/3.1)
483,74,54,['none'],Northern Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.1)
864,711,100,[],Victoria,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.1)
875,169,102,['nut allergy'],Northern Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0)
552,380,62,['celiac'],Western Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0)
441,184,50,"['vegan', 'none']",Tasmania,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.1)
188,256,22,['none'],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.1)
129,481,14,"['nut allergy', 'celiac']",Northern Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.1)
309,245,33,['none'],Tasmania,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.1)
873,771,101,['none'],New South Wales,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/4.0)
896,673,103,['vegetarian'],New South Wales,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/4.1)
858,928,99,"['none', 'vegan']",Victoria,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.0)
687,140,79,[],Victoria,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/17.6s6041.0 Mobile/21E345 Safari/531.0"
265,64,29,[],Australian Capital Territory,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/26.0.886.0 Mobile/10O463 Safari/531.2"
131,664,14,[],South Australia,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/16.6i1663.0 Mobile/24K866 Safari/533.1"
691,333,79,['none'],Tasmania,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/14.7o3863.0 Mobile/42W655 Safari/534.0"
178,924,20,[],Queensland,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/20.0.845.0 Mobile/50L101 Safari/536.1"
918,146,106,['none'],Victoria,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/13.3x7032.0 Mobile/08M097 Safari/536.1"
380,221,44,"['vegan', 'nut allergy']",Queensland,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/15.2u1502.0 Mobile/52K138 Safari/531.1"
699,81,80,"['none', 'vegan']",New South Wales,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/59.0.832.0 Mobile/47N478 Safari/532.0"
998,645,116,"['vegetarian', 'lactose intolerant']",Tasmania,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/11.2r0616.0 Mobile/47I121 Safari/534.2"
735,941,83,['nut allergy'],Tasmania,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/13.5l1180.0 Mobile/17N256 Safari/536.0"
453,12,51,"['nut allergy', 'nut allergy']",New South Wales,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/15.7i1231.0 Mobile/09V100 Safari/536.1"
976,945,113,[],Australian Capital Territory,"Mozilla/5.0 (iPad; CPU iPad OS 12_4 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/16.0f6365.0 Mobile/39H158 Safari/531.0"
142,790,16,['nut allergy'],South Australia,"Mozilla/5.0 (iPad; CPU iPad OS 12_4 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/10.5b8557.0 Mobile/89U857 Safari/531.2"
798,987,92,['none'],Northern Territory,"Mozilla/5.0 (iPad; CPU iPad OS 12_4 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/18.0.820.0 Mobile/69U298 Safari/532.2"
250,22,28,"['lactose intolerant', 'vegan']",Northern Territory,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/13.5y0515.0 Mobile/47R536 Safari/531.1"
262,929,28,"['lactose intolerant', 'none']",Australian Capital Territory,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/23.0.847.0 Mobile/56I460 Safari/533.1"
959,362,111,"['lactose intolerant', 'vegetarian']",New South Wales,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/14.0n8472.0 Mobile/64J627 Safari/535.2"
892,93,103,"['vegan', 'vegetarian']",Western Australia,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/17.4p4987.0 Mobile/53N081 Safari/536.0"
604,258,69,['vegetarian'],New South Wales,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/51.0.836.0 Mobile/07P751 Safari/531.0"
277,961,29,"['vegetarian', 'lactose intolerant']",Northern Territory,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/11.1k3842.0 Mobile/58C615 Safari/533.0"
719,644,82,['lactose intolerant'],South Australia,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/9.8k1856.0 Mobile/24L701 Safari/533.0"
542,163,61,['vegan'],Northern Territory,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/50.0.857.0 Mobile/78C603 Safari/531.0"
419,99,48,['vegan'],Australian Capital Territory,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/57.0.826.0 Mobile/50O275 Safari/531.1"
35,368,5,[],Western Australia,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/14.0w1493.0 Mobile/68R186 Safari/533.0"
543,164,61,['none'],New South Wales,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/21.0.813.0 Mobile/99H925 Safari/533.2"
163,167,19,['vegetarian'],South Australia,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/33.0.860.0 Mobile/60B741 Safari/534.0"
988,356,115,[],Queensland,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/29.0.849.0 Mobile/51F888 Safari/535.2"
334,843,36,"['vegetarian', 'vegan']",South Australia,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/45.0.887.0 Mobile/30F013 Safari/531.1"
296,642,31,['celiac'],Northern Territory,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/28.0.857.0 Mobile/01S437 Safari/532.0"
11,253,2,"['nut allergy', 'celiac']",Queensland,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/40.0.866.0 Mobile/40N496 Safari/533.1"
94,28,11,['celiac'],Northern Territory,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/63.0.821.0 Mobile/39R627 Safari/535.1"
110,385,12,['nut allergy'],South Australia,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/9.1h9502.0 Mobile/57P192 Safari/532.1"
549,276,62,['vegan'],Northern Territory,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/16.9k7112.0 Mobile/86U091 Safari/535.0"
758,926,86,['celiac'],Victoria,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/14.5m4829.0 Mobile/64K017 Safari/535.2"
703,77,81,['celiac'],Northern Territory,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/58.0.811.0 Mobile/43E790 Safari/533.0"
145,138,17,[],Queensland,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_6 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/38.0.891.0 Mobile/02O384 Safari/535.0"
537,920,60,[],Tasmania,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/33.0.812.0 Mobile/02R000 Safari/531.0"
69,883,8,"['celiac', 'celiac']",Northern Territory,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/13.0.888.0 Mobile/23L523 Safari/532.2"
435,720,49,"['nut allergy', 'vegan']",Western Australia,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/13.0l6433.0 Mobile/01U176 Safari/532.2"
625,78,71,"['lactose intolerant', 'celiac']",New South Wales,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/24.0.809.0 Mobile/98A340 Safari/535.0"
181,187,21,['lactose intolerant'],New South Wales,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/14.7s4787.0 Mobile/44L885 Safari/535.0"
276,859,29,"['celiac', 'vegetarian']",South Australia,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/17.4g5335.0 Mobile/75U128 Safari/535.0"
891,54,103,"['none', 'nut allergy']",Australian Capital Territory,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/50.0.842.0 Mobile/08G941 Safari/533.2"
457,572,51,['none'],Tasmania,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/13.3r1576.0 Mobile/75Y042 Safari/534.2"
682,502,78,"['none', 'vegetarian']",South Australia,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/9.3t1619.0 Mobile/01W220 Safari/536.2"
301,232,32,"['celiac', 'vegetarian']",New South Wales,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/57.0.870.0 Mobile/66G884 Safari/533.1"
711,900,81,"['nut allergy', 'vegan']",Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/13.8c1444.0 Mobile/75M688 Safari/533.2"
781,71,90,[],Northern Territory,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/45.0.872.0 Mobile/33R495 Safari/534.1"
341,125,38,['nut allergy'],New South Wales,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/13.8l0286.0 Mobile/08W567 Safari/534.2"
764,970,87,"['vegan', 'vegetarian']",Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/32.0.831.0 Mobile/69H806 Safari/535.1"
300,68,32,[],Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/33.0.848.0 Mobile/79Z360 Safari/535.2"
489,706,54,"['none', 'none']",Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/20.0.808.0 Mobile/62V841 Safari/536.2"
13,596,2,"['none', 'lactose intolerant']",Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/18.0e4691.0 Mobile/08M651 Safari/532.2"
444,312,50,"['celiac', 'none']",Australian Capital Territory,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/18.0.834.0 Mobile/89O327 Safari/533.2"
168,755,19,[],Queensland,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/10.5m6896.0 Mobile/28Y726 Safari/534.0"
97,87,11,[],Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/11.9j8892.0 Mobile/31T181 Safari/535.1"
343,278,38,['vegan'],New South Wales,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/13.7f5287.0 Mobile/26T219 Safari/536.0"
91,901,10,[],Australian Capital Territory,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/14.3k4649.0 Mobile/79D982 Safari/536.2"
730,543,83,['lactose intolerant'],Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/26.0.889.0 Mobile/20B006 Safari/532.1"
82,266,10,[],Tasmania,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/36.0.897.0 Mobile/55U943 Safari/534.0"
867,898,100,[],Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/10.2u4228.0 Mobile/60P877 Safari/531.0"
574,860,65,"['vegan', 'lactose intolerant']",Western Australia,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/52.0.855.0 Mobile/52G168 Safari/533.0"
926,35,107,['vegan'],Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/45.0.841.0 Mobile/19A863 Safari/533.1"
269,425,29,"['vegetarian', 'celiac']",New South Wales,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/19.0.810.0 Mobile/22M967 Safari/534.2"
608,514,69,[],Australian Capital Territory,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/12.8t9721.0 Mobile/87G772 Safari/535.2"
226,974,25,['celiac'],Western Australia,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/15.9j3006.0 Mobile/63U711 Safari/536.1"
488,622,54,"['celiac', 'vegetarian']",Western Australia,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/17.1b1108.0 Mobile/65V901 Safari/536.2"
754,89,86,[],Tasmania,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/15.9s9546.0 Mobile/29P170 Safari/535.0"
197,877,22,[],Northern Territory,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/17.5x3061.0 Mobile/66C649 Safari/536.2"
622,590,70,"['nut allergy', 'none']",Tasmania,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/34.0.831.0 Mobile/91O669 Safari/532.2"
421,205,48,"['vegan', 'celiac']",New South Wales,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/34.0.800.0 Mobile/80X835 Safari/535.0"
953,67,110,['nut allergy'],New South Wales,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/11.4t1946.0 Mobile/66B546 Safari/536.1"
843,576,98,['lactose intolerant'],Victoria,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/63.0.850.0 Mobile/69T604 Safari/536.2"
856,820,99,['vegetarian'],Victoria,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; fa-IR) AppleWebKit/533.11.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6533.11.2"
812,127,95,"['vegetarian', 'nut allergy']",New South Wales,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ja-JP) AppleWebKit/531.3.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6531.3.2"
883,777,102,['vegan'],Australian Capital Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ja-JP) AppleWebKit/532.1.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6532.1.7"
27,942,3,"['none', 'lactose intolerant']",South Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; lb-LU) AppleWebKit/532.14.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6532.14.7"
319,238,34,[],Western Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ln-CD) AppleWebKit/531.21.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6531.21.5"
747,351,85,['none'],New South Wales,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; lo-LA) AppleWebKit/533.19.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6533.19.3"
496,774,55,['none'],Western Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; mhr-RU) AppleWebKit/535.32.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6535.32.6"
147,448,17,['vegetarian'],Northern Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; quz-PE) AppleWebKit/531.11.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6531.11.7"
425,487,48,"['lactose intolerant', 'celiac']",Western Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ro-RO) AppleWebKit/534.21.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6534.21.1"
336,947,36,[],Northern Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ro-RO) AppleWebKit/535.4.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6535.4.1"
677,124,78,[],Queensland,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; sa-IN) AppleWebKit/534.14.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6534.14.3"
886,921,102,['celiac'],Queensland,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; shs-CA) AppleWebKit/532.41.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6532.41.4"
778,836,89,['vegan'],Tasmania,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; vi-VN) AppleWebKit/535.17.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6535.17.2"
930,862,107,"['vegan', 'vegan']",Western Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; wo-SN) AppleWebKit/534.47.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.47.7"
588,911,67,['vegan'],South Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; gd-GB) AppleWebKit/532.31.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6532.31.5"
287,189,31,"['nut allergy', 'vegetarian']",South Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; gez-ET) AppleWebKit/533.45.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6533.45.5"
51,152,7,['vegan'],Australian Capital Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ig-NG) AppleWebKit/534.28.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6534.28.5"
391,329,45,['nut allergy'],South Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ks-IN) AppleWebKit/533.44.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6533.44.2"
885,869,102,['celiac'],Northern Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; nr-ZA) AppleWebKit/532.4.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6532.4.1"
861,198,100,[],Northern Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; nso-ZA) AppleWebKit/532.33.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.33.5"
149,626,17,['celiac'],Northern Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; so-DJ) AppleWebKit/532.36.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6532.36.3"
491,848,54,"['none', 'none']",Northern Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; aa-ET) AppleWebKit/531.41.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6531.41.5"
938,801,108,['lactose intolerant'],Victoria,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ga-IE) AppleWebKit/534.40.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.40.1"
723,998,82,"['nut allergy', 'celiac']",Western Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; gd-GB) AppleWebKit/535.7.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6535.7.2"
438,1,50,[],Australian Capital Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; hu-HU) AppleWebKit/532.41.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6532.41.7"
108,248,12,"['vegan', 'vegetarian']",Victoria,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; mag-IN) AppleWebKit/532.19.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.19.4"
413,700,47,['lactose intolerant'],Northern Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; mag-IN) AppleWebKit/535.44.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6535.44.3"
49,2,7,['nut allergy'],Tasmania,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ms-MY) AppleWebKit/533.2.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6533.2.2"
919,212,106,[],South Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ru-UA) AppleWebKit/534.38.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6534.38.2"
560,371,63,['lactose intolerant'],Tasmania,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; sk-SK) AppleWebKit/532.27.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6532.27.6"
920,235,106,['nut allergy'],Northern Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; wal-ET) AppleWebKit/532.5.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6532.5.6"
446,588,50,['celiac'],Victoria,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ber-MA) AppleWebKit/533.38.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6533.38.1"
67,623,8,['vegan'],Australian Capital Territory,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; fil-PH) AppleWebKit/535.12.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6535.12.5"
323,800,34,[],South Australia,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ko-KR) AppleWebKit/533.29.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6533.29.7"
